Temp	Sublattice_Magnetism_Incorrect_Glauber	Sublattice_Magnetism_Incorrect_Glauber	Nope	Sublattice_Susceptibility_Incorrect_Glauber	Sublattice_Susceptibility_Incorrect_Glauber	Nope	Energy_Incorrect_Glauber	Heat_Capacity_Incorrect_Glauber	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect_Glauber	Prob1_Incorrect	Prob0_Incorrect	Prob_neg1_Incorrect
9.957	0.00176889	-0.00116667	0	0.000111657	0.000104689	0	-46.287	4.93132	0.495262	1.09858	0.251392	0.251091	0.497517
9.956	0.00082	-0.000137778	0	0.000124751	0.000106145	0	-46.023	4.56916	0.458936	1.09858	0.25146	0.251119	0.497421
9.955	-0.00146667	0.000742222	0	0.00012009	0.000117438	0	-45.783	4.5498	0.457036	1.09858	0.251146	0.251508	0.497347
9.954	0.000537778	-0.000275556	0	0.00011385	0.000120041	0	-45.89	4.80714	0.482936	1.09858	0.251411	0.25128	0.497309
9.953	0.000348889	-0.00143556	0	0.000111584	0.000114145	0	-45.51	4.78899	0.48116	1.09858	0.25093	0.251473	0.497597
9.952	0.000635556	-2e-005	0	0.000107823	0.000126314	0	-46.768	4.55381	0.457578	1.09857	0.251556	0.251248	0.497197
9.951	-0.00234889	0.00211333	0	0.00011694	0.000120094	0	-46.652	4.92835	0.495262	1.09857	0.251318	0.251436	0.497247
9.95	-0.000982222	-0.000488889	0	0.00011725	0.000120728	0	-45.239	4.49326	0.451584	1.09857	0.250987	0.251722	0.497291
9.949	-0.00145111	0.00024	0	0.000121802	0.00010916	0	-46.157	4.5604	0.458378	1.09857	0.251092	0.251698	0.49721
9.948	-0.00144889	-0.000551111	0	0.00011161	0.000119734	0	-46.794	4.83246	0.485772	1.09857	0.250781	0.251781	0.497438
9.947	0.00245333	-0.00174222	0	0.00011367	0.000110714	0	-46.499	4.86	0.488589	1.09857	0.25145	0.251094	0.497456
9.946	0.00136889	-0.00107556	0	0.000115643	0.000124716	0	-45.219	5.14972	0.517768	1.09857	0.251311	0.251164	0.497524
9.945	0.000177778	-0.000113333	0	0.000118838	0.000116957	0	-46.987	4.71715	0.474324	1.09857	0.251201	0.251169	0.49763
9.944	0.00326222	-0.00201778	0	0.000114479	0.000113658	0	-45.59	4.66025	0.468649	1.09857	0.251653	0.251031	0.497316
9.943	-0.00109333	0.00243111	0	0.000117042	0.000108071	0	-45.227	4.41656	0.444188	1.09857	0.251499	0.25083	0.497671
9.942	-0.000651111	-0.000568889	0	0.000117594	0.000112244	0	-45.105	4.2983	0.432337	1.09857	0.250927	0.251537	0.497537
9.941	0.000295556	-0.00170889	0	0.000108245	0.000112778	0	-45.442	4.89206	0.49211	1.09857	0.250833	0.25154	0.497627
9.94	-0.00126889	0.00012	0	0.000104466	0.000120234	0	-45.502	4.47797	0.4505	1.09857	0.25093	0.251504	0.497566
9.939	-0.000204444	-0.000337778	0	0.000111742	0.00011401	0	-47.122	5.10502	0.513635	1.09857	0.2512	0.251471	0.497329
9.938	-0.000497778	0.00101556	0	0.000115349	0.000111541	0	-45.55	4.67087	0.470001	1.09857	0.251341	0.251082	0.497577
9.937	-0.00234222	0.00133111	0	0.000121454	0.000114818	0	-45.383	4.59259	0.46217	1.09857	0.25099	0.251496	0.497514
9.936	-0.000515556	0.00117333	0	0.000118195	0.000120539	0	-46.675	4.86723	0.489859	1.09857	0.251562	0.251233	0.497204
9.935	4.22222e-005	-0.000231111	0	0.000112897	0.000115368	0	-45.572	4.70643	0.473722	1.09857	0.251282	0.251377	0.497341
9.934	-0.00142222	0.000302222	0	0.000114509	0.000118489	0	-46.128	4.54517	0.457537	1.09857	0.250931	0.251491	0.497578
9.933	0.00102444	0.000151111	0	0.000116367	0.000112655	0	-44.757	4.39818	0.442784	1.09856	0.251464	0.250877	0.497659
9.932	0.00110889	-0.000268889	0	0.000112871	0.000104773	0	-45.588	4.61059	0.464216	1.09856	0.251481	0.251061	0.497458
9.931	-0.001	-0.0001	0	0.000113419	0.000118193	0	-45.784	4.88753	0.492149	1.09856	0.25104	0.25159	0.49737
9.93	-7.33333e-005	-0.000344444	0	0.000118248	0.000122865	0	-45.99	5.02782	0.506327	1.09856	0.251174	0.251383	0.497442
9.929	0.000373333	-0.00167111	0	0.000115908	0.000117544	0	-46.708	4.83305	0.486761	1.09856	0.251027	0.251676	0.497298
9.928	0.000593333	-0.0006	0	0.000116467	0.000119324	0	-45.797	4.92448	0.496019	1.09856	0.251291	0.251294	0.497414
9.927	-0.00016	-0.00312667	0	0.00011993	0.000118086	0	-45.328	4.80027	0.483557	1.09856	0.25059	0.252233	0.497177
9.926	-7.55556e-005	-0.000257778	0	0.000120104	0.000116035	0	-46.643	5.28036	0.531972	1.09856	0.25132	0.251487	0.497193
9.925	0.00088	-0.000284444	0	0.000117625	0.000131525	0	-45.469	4.67193	0.470723	1.09856	0.251343	0.251046	0.497611
9.924	-0.00334	0.00182444	0	0.000116217	0.000118953	0	-45.771	4.72061	0.475676	1.09856	0.250838	0.251596	0.497567
9.923	0.00187556	-0.00168	0	0.000118793	0.000113744	0	-46.453	4.84779	0.48854	1.09856	0.251326	0.251228	0.497447
9.922	-0.000175556	0.00112444	0	0.000121864	0.000119001	0	-45.982	4.95965	0.499863	1.09856	0.251577	0.251102	0.497321
9.921	0.00028	-0.000615556	0	0.000108357	0.000115211	0	-45.654	4.81565	0.4854	1.09856	0.251128	0.251296	0.497577
9.92	-0.000891111	-0.000315556	0	0.000118966	0.000124174	0	-45.987	4.43807	0.447386	1.09856	0.251001	0.251604	0.497394
9.919	-0.000166667	-0.000102222	0	0.000111302	0.000114281	0	-46.463	4.74702	0.478578	1.09856	0.25102	0.251154	0.497826
9.918	0.00120222	0.000946667	0	0.000124974	0.000112583	0	-46.342	4.43366	0.447032	1.09856	0.251796	0.250721	0.497483
9.917	0.000982222	9.11111e-005	0	0.000104375	0.000116634	0	-45.702	4.94892	0.499034	1.09856	0.251483	0.250947	0.49757
9.916	0.00111333	7.55556e-005	0	0.000115908	0.000120617	0	-46.527	4.85585	0.489698	1.09856	0.251613	0.251019	0.497368
9.915	0.00275778	-0.000188889	0	0.000117246	0.000118666	0	-45.69	4.72569	0.476621	1.09856	0.251862	0.250578	0.49756
9.914	0.000735556	-0.00306889	0	0.000110785	0.000112743	0	-47.88	4.83071	0.487261	1.09855	0.250809	0.251976	0.497216
9.913	0.000566667	0.000708889	0	0.000115351	0.000107468	0	-46.114	4.81163	0.485386	1.09855	0.251639	0.251001	0.49736
9.912	0.000313333	-0.00121333	0	0.000110891	0.000113899	0	-46.308	4.47507	0.45148	1.09855	0.251111	0.251561	0.497328
9.911	-0.00185333	0.000993333	0	0.000118486	0.000119889	0	-45.869	4.68134	0.472337	1.09855	0.250986	0.251416	0.497599
9.91	-0.0014	4.44444e-005	0	0.000106234	0.000116703	0	-46.602	5.34269	0.539121	1.09855	0.250976	0.251653	0.497371
9.909	-0.00137778	1.11111e-005	0	0.000120248	0.000114697	0	-45.853	4.68766	0.473071	1.09855	0.251018	0.251701	0.497281
9.908	0.000371111	-0.000453333	0	0.000115556	0.000113263	0	-45.813	4.45842	0.449982	1.09855	0.251312	0.251353	0.497334
9.907	-0.000195556	-0.00137778	0	0.000117323	0.000119095	0	-45.85	5.11202	0.516	1.09855	0.250838	0.251624	0.497538
9.906	-0.00048	0.000162222	0	0.000122676	0.000120843	0	-46.552	4.81165	0.485731	1.09855	0.251201	0.25136	0.497439
9.905	0.000213333	0.000271111	0	0.000116429	0.000119275	0	-45.411	4.32458	0.436605	1.09855	0.251277	0.251034	0.497689
9.904	0.00133111	-0.00188667	0	0.000115987	0.000113293	0	-45.431	4.4145	0.445729	1.09855	0.251104	0.251382	0.497513
9.903	-0.000922222	0.000593333	0	0.000115079	0.000115049	0	-46.275	4.57844	0.462329	1.09855	0.251272	0.251437	0.497291
9.902	0.00101111	0.00240667	0	0.000120723	0.00013006	0	-46.629	4.70112	0.474765	1.09855	0.252221	0.250512	0.497267
9.901	-0.000975556	-0.000875556	0	0.000114707	0.000123482	0	-47.054	4.8772	0.492597	1.09855	0.250847	0.251772	0.497381
9.9	0.000315556	0.000751111	0	0.000116427	0.000125367	0	-46.329	5.36152	0.541568	1.09855	0.251587	0.251053	0.49736
9.899	-8e-005	-0.000324444	0	0.000119987	0.000115074	0	-47.547	4.95672	0.500729	1.09855	0.251186	0.251388	0.497427
9.898	-0.00182222	0.00147333	0	0.000121039	0.000124633	0	-46.699	4.41526	0.446076	1.09855	0.251226	0.2514	0.497374
9.897	0.000244444	-0.000988889	0	0.000117977	0.000123223	0	-46.786	5.23572	0.529021	1.09855	0.25122	0.251592	0.497188
9.896	0.00198222	-0.00144444	0	0.000133147	0.000123612	0	-46.326	4.59857	0.46469	1.09855	0.251351	0.251082	0.497567
9.895	0.00160667	-0.00143556	0	0.000116008	0.000111623	0	-44.717	4.62237	0.467142	1.09854	0.251282	0.251197	0.497521
9.894	0.000535556	7.33333e-005	0	0.000106302	0.000110249	0	-45.523	4.96289	0.501606	1.09854	0.251396	0.251091	0.497513
9.893	0.00188667	0.00185556	0	0.000107875	0.000122036	0	-45.448	5.26533	0.532228	1.09854	0.252178	0.250307	0.497516
9.892	0.00103778	-0.00119556	0	0.000119739	0.00011548	0	-45.55	4.91472	0.496838	1.09854	0.251286	0.251364	0.49735
9.891	-0.000602222	-0.00101778	0	0.000116991	0.000115448	0	-46.706	4.47821	0.452756	1.09854	0.250971	0.251781	0.497248
9.89	0.000955556	-0.000942222	0	0.000113877	0.000115046	0	-47.013	5.03789	0.509393	1.09854	0.251291	0.251284	0.497424
9.889	-0.00188	0.00176	0	0.000113986	0.000114706	0	-46.466	5.12528	0.518281	1.09854	0.251341	0.251401	0.497258
9.888	0.000753333	0.000155556	0	0.000115737	0.000118692	0	-45.79	4.93408	0.498997	1.09854	0.251488	0.251033	0.497479
9.887	0.000893333	-0.00110222	0	0.0001107	0.000106914	0	-46.338	4.65445	0.470765	1.09854	0.25129	0.251394	0.497316
9.886	-0.000206667	-0.000848889	0	0.000127076	0.000128924	0	-46.191	4.83997	0.489578	1.09854	0.25103	0.251558	0.497412
9.885	-0.0002	-0.000417778	0	0.000117057	0.000121009	0	-45.281	4.63945	0.469343	1.09854	0.251119	0.251428	0.497453
9.884	-0.00111333	-0.000773333	0	0.000125472	0.0001208	0	-46.861	4.62905	0.468337	1.09854	0.251009	0.251952	0.497039
9.883	-0.000893333	-0.000106667	0	0.000107843	0.000112542	0	-46.756	4.49067	0.454383	1.09854	0.251026	0.251526	0.497449
9.882	0.000242222	-0.00152667	0	0.000124409	0.000117281	0	-47.157	4.6424	0.469783	1.09854	0.25103	0.251672	0.497298
9.881	-0.00102444	-0.00154222	0	0.00011475	0.000120795	0	-45.1	4.62305	0.467873	1.09854	0.250537	0.25182	0.497643
9.88	0.000884444	0.000615556	0	0.000125435	0.000105185	0	-45.643	4.46753	0.452179	1.09854	0.251708	0.250958	0.497334
9.879	-0.000802222	0.000942222	0	0.000117439	0.000108863	0	-45.606	4.7706	0.482903	1.09854	0.251277	0.251207	0.497517
9.878	0.000468889	0.00012	0	0.000115561	0.000119606	0	-45.986	4.61772	0.467476	1.09854	0.251381	0.251087	0.497532
9.877	0.00175333	-0.00314444	0	0.000115222	0.000117679	0	-46.96	4.87251	0.493319	1.09853	0.251021	0.251717	0.497262
9.876	-0.000942222	-0.000306667	0	0.000131976	0.000123345	0	-45.424	4.89408	0.495553	1.09853	0.250972	0.251597	0.497431
9.875	-2e-005	-0.00119333	0	0.000105822	0.000110146	0	-46.676	4.47568	0.453234	1.09853	0.251036	0.251642	0.497322
9.874	-0.0005	0.00159111	0	0.000121716	0.000114732	0	-45.558	5.0611	0.512569	1.09853	0.251459	0.250913	0.497628
9.873	-0.00176667	0.000755556	0	0.000111352	0.000118118	0	-45.136	4.86586	0.492845	1.09853	0.250976	0.251481	0.497543
9.872	0.00134667	-0.00144667	0	0.000111534	0.000119537	0	-45.923	4.99535	0.506012	1.09853	0.251308	0.251358	0.497334
9.871	0.00208	0.000417778	0	0.000116619	0.000116911	0	-46.291	4.71601	0.477764	1.09853	0.251853	0.250604	0.497542
9.87	-0.00102222	0.00201556	0	0.000115207	0.000113974	0	-46.369	4.78203	0.484502	1.09853	0.251431	0.250934	0.497634
9.869	-0.00121556	0.00118667	0	0.000121688	0.000118656	0	-45.685	4.63206	0.469355	1.09853	0.251277	0.251291	0.497432
9.868	-0.000328889	6.66667e-006	0	0.000115189	0.000112479	0	-46.801	4.61815	0.467992	1.09853	0.251126	0.251287	0.497588
9.867	-0.000133333	0.00146889	0	0.000121555	0.000113459	0	-46.371	4.90023	0.496628	1.09853	0.251646	0.250978	0.497377
9.866	0.00106222	0.00014	0	0.000110683	0.000111865	0	-47.265	5.31748	0.53897	1.09853	0.251613	0.251012	0.497374
9.865	-0.000991111	-0.000562222	0	0.000121706	0.000118067	0	-45.364	4.69383	0.475807	1.09853	0.250851	0.251628	0.497521
9.864	0.000377778	0.000413333	0	0.000105557	0.000116067	0	-46.689	4.81276	0.487912	1.09853	0.251586	0.25119	0.497224
9.863	-0.000446667	-0.000826667	0	0.000115238	0.000116802	0	-46.652	4.55451	0.461777	1.09853	0.251037	0.251673	0.49729
9.862	-9.33333e-005	-0.000308889	0	0.000107925	0.000119884	0	-46.07	4.6885	0.475411	1.09853	0.251222	0.251423	0.497354
9.861	0.000482222	-0.00158222	0	0.000117771	0.000109055	0	-46.096	5.03388	0.510483	1.09853	0.251082	0.251632	0.497286
9.86	0.00106	-0.00197333	0	0.000117377	0.000120975	0	-47.744	4.73637	0.480363	1.09853	0.251117	0.251573	0.49731
9.859	6.66667e-006	0.000606667	0	0.000117482	0.000131285	0	-47.181	4.7362	0.480394	1.09853	0.251428	0.251121	0.497451
9.858	-0.0019	-0.000457778	0	0.000125699	0.000117078	0	-45.911	4.62349	0.469008	1.09852	0.250637	0.251816	0.497548
9.857	4e-005	-0.000351111	0	0.00011658	0.000109891	0	-45.019	4.83763	0.490782	1.09852	0.251159	0.251314	0.497527
9.856	-0.000617778	-0.000851111	0	0.000104862	0.000118033	0	-46.463	4.35906	0.442275	1.09852	0.2509	0.251634	0.497466
9.855	0.000457778	-0.000288889	0	0.000118938	0.000109604	0	-46.157	4.95759	0.503053	1.09852	0.251312	0.251228	0.49746
9.854	0.00259333	-0.00128	0	0.000122084	0.000121989	0	-47.15	4.93731	0.501046	1.09852	0.251668	0.251011	0.497321
9.853	-0.000322222	0.000855556	0	0.000117271	0.000114222	0	-47.281	4.45699	0.452349	1.09852	0.251559	0.251292	0.497149
9.852	0.00185111	-0.000722222	0	0.000124494	0.000124046	0	-45.231	4.64804	0.471786	1.09852	0.251491	0.250927	0.497582
9.851	0.00125556	6.88889e-005	0	0.000125519	0.000126559	0	-45.276	4.89319	0.49672	1.09852	0.251708	0.251046	0.497247
9.85	0.00135556	-0.00024	0	0.000114781	0.000114556	0	-45.664	4.62912	0.469962	1.09852	0.251523	0.250966	0.497511
