Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
7.735	0.0319377	0.0324235	0.0326153	7.54519e-005	8.00168e-005	7.82537e-005	-108.313	12.4446	1.60887	0.722098	0.295676	0.295676	0.408649
7.736	0.0328054	0.0323446	0.0316515	7.96958e-005	7.86807e-005	7.473e-005	-106.065	11.9915	1.5501	0.7221	0.296047	0.296047	0.407905
7.737	0.0317657	0.0321484	0.0314904	7.60998e-005	7.70612e-005	7.37754e-005	-106.332	11.7388	1.51723	0.722101	0.296005	0.296005	0.40799
7.738	0.0334206	0.0322163	0.0331227	8.19386e-005	7.49709e-005	8.24719e-005	-106.187	11.9904	1.54955	0.722103	0.295845	0.295845	0.408309
7.739	0.032341	0.0323575	0.0311789	7.48748e-005	7.64552e-005	7.21197e-005	-104.515	11.9442	1.54338	0.722105	0.295943	0.295943	0.408114
7.74	0.0324775	0.0308906	0.0319661	7.61342e-005	7.05883e-005	7.46124e-005	-108.362	11.3851	1.47094	0.722106	0.295654	0.295654	0.408691
7.741	0.0311216	0.0313749	0.0312935	7.54816e-005	7.31807e-005	7.06527e-005	-105.995	11.8629	1.53248	0.722108	0.296161	0.296161	0.407678
7.742	0.0317101	0.0316915	0.0329883	7.42391e-005	7.4453e-005	8.06536e-005	-106.183	12.0421	1.55543	0.72211	0.296171	0.296171	0.407658
7.743	0.0321193	0.0319828	0.0322964	7.61977e-005	7.54626e-005	8.07696e-005	-105.272	12.3547	1.5956	0.722111	0.295425	0.295425	0.409149
7.744	0.0327417	0.032813	0.032101	8.17051e-005	7.94348e-005	7.19297e-005	-105.842	12.149	1.56883	0.722113	0.296006	0.296006	0.407987
7.745	0.0317435	0.0327285	0.0325208	7.54159e-005	7.8518e-005	7.46045e-005	-104.75	12.1865	1.57347	0.722115	0.29603	0.29603	0.407939
7.746	0.0324803	0.032849	0.03399	8.09059e-005	8.26213e-005	8.33949e-005	-108.644	11.8911	1.53512	0.722117	0.295635	0.295635	0.40873
7.747	0.0325394	0.0330099	0.0323417	7.78673e-005	7.83809e-005	7.68766e-005	-107.792	12.3044	1.58828	0.722118	0.295963	0.295963	0.408073
7.748	0.0327819	0.0332316	0.0334538	7.66277e-005	7.95948e-005	8.6434e-005	-108.628	12.7974	1.6517	0.72212	0.295946	0.295946	0.408107
7.749	0.0321031	0.0327265	0.0313716	7.52327e-005	7.94244e-005	7.56001e-005	-106.51	12.5039	1.61361	0.722122	0.295863	0.295863	0.408274
7.75	0.0315888	0.0320918	0.0325876	7.18099e-005	7.45812e-005	7.91097e-005	-107.508	12.6731	1.63524	0.722124	0.295759	0.295759	0.408483
7.751	0.0331963	0.0325161	0.0321583	8.04202e-005	7.85406e-005	7.44468e-005	-105.176	12.3834	1.59766	0.722126	0.295678	0.295678	0.408645
7.752	0.0322963	0.0321657	0.0318775	7.5356e-005	7.65034e-005	7.56904e-005	-108.023	13.337	1.72046	0.722127	0.296319	0.296319	0.407361
7.753	0.03262	0.0330512	0.0318251	7.95723e-005	7.61059e-005	7.41426e-005	-105.08	13.2181	1.7049	0.722129	0.296198	0.296198	0.407604
7.754	0.0326532	0.0322225	0.0324791	7.61652e-005	7.88082e-005	7.71273e-005	-105.573	12.1119	1.56201	0.722131	0.296139	0.296139	0.407722
7.755	0.0322652	0.0322485	0.0317317	7.74711e-005	7.44733e-005	7.60571e-005	-109.591	11.9225	1.53739	0.722133	0.295552	0.295552	0.408895
7.756	0.0319684	0.0319153	0.0328679	7.57736e-005	7.46809e-005	8.12184e-005	-105.867	12.9503	1.66972	0.722135	0.296378	0.296378	0.407244
7.757	0.0316268	0.031532	0.0325099	7.40355e-005	7.37296e-005	7.45716e-005	-107.433	11.8598	1.52891	0.722136	0.295393	0.295393	0.409213
7.758	0.0321609	0.0321858	0.031513	7.57706e-005	7.68259e-005	7.63116e-005	-106.762	12.8082	1.65097	0.722138	0.296123	0.296123	0.407753
7.759	0.0325595	0.0315634	0.0322757	7.73918e-005	7.55429e-005	7.76936e-005	-106.857	11.6376	1.49988	0.72214	0.295685	0.295685	0.40863
7.76	0.031448	0.0320238	0.0325856	7.3315e-005	7.69293e-005	7.74388e-005	-107.932	11.6143	1.49669	0.722142	0.295893	0.295893	0.408215
7.761	0.0332482	0.0333923	0.032558	8.45661e-005	8.41559e-005	7.88923e-005	-105.886	11.6778	1.50468	0.722143	0.295636	0.295636	0.408729
