Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Glauber	Heat_Capacity_Glauber	Heat_Capacity_Over_Temp	Entropy_Glauber	Prob1	Prob0	Prob_-1
9.963	0.03731	0.0389067	0.03825	7.76314e-005	8.89429e-005	8.64124e-005	-107.932	9.46309	0.949823	3.95335e-005	0.334984	0.335353	0.329662
9.962	0.0376833	0.0374067	0.0382567	7.96805e-005	8.04309e-005	8.08935e-005	-107.679	8.87089	0.890473	4.05888e-005	0.334584	0.335653	0.329762
9.961	0.03868	0.03671	0.03959	8.58673e-005	7.81658e-005	9.69045e-005	-107.356	9.93949	0.997841	4.15783e-005	0.335353	0.33598	0.328667
9.96	0.0388	0.03924	0.0383667	7.91459e-005	8.40607e-005	7.67915e-005	-109.285	9.55934	0.959773	4.2687e-005	0.334666	0.335381	0.329953
9.959	0.0394833	0.0392567	0.03934	8.46191e-005	9.02403e-005	9.22056e-005	-108.79	10.1725	1.02144	4.37534e-005	0.335617	0.335408	0.328976
9.958	0.0389633	0.0400167	0.0403767	9.29262e-005	9.02222e-005	9.05405e-005	-105.745	10.3163	1.03598	4.48883e-005	0.335279	0.335238	0.329483
9.957	0.0383233	0.0385967	0.0375433	8.33874e-005	8.24454e-005	8.27847e-005	-106.788	8.96498	0.90037	4.60394e-005	0.335512	0.335487	0.329001
9.956	0.0389267	0.0387233	0.0369233	8.60032e-005	9.00611e-005	8.03302e-005	-109.56	9.47419	0.951606	4.70398e-005	0.335377	0.335123	0.3295
9.955	0.0385333	0.03739	0.03732	8.10563e-005	7.90557e-005	7.86914e-005	-107.993	9.59255	0.963591	4.80972e-005	0.335099	0.335589	0.329312
9.954	0.0373133	0.03652	0.0377333	7.98209e-005	8.02537e-005	8.11707e-005	-108.037	9.78406	0.982928	4.91678e-005	0.336076	0.33512	0.328804
9.953	0.0386767	0.0378933	0.03801	7.70102e-005	7.93268e-005	8.08004e-005	-108.077	9.42423	0.946873	5.02599e-005	0.335094	0.335523	0.329382
9.952	0.0382133	0.0404033	0.0385767	9.12477e-005	8.92488e-005	8.63128e-005	-106.495	9.93701	0.998493	5.1312e-005	0.335429	0.335107	0.329464
9.951	0.0391267	0.0381	0.0399267	9.10677e-005	7.84657e-005	8.93908e-005	-106.339	9.80013	0.984838	5.24215e-005	0.335237	0.334954	0.329809
9.95	0.03789	0.0380733	0.0388467	8.57178e-005	8.2479e-005	8.0619e-005	-106.523	9.24663	0.92931	5.35157e-005	0.335543	0.335407	0.32905
9.949	0.03876	0.0367567	0.0382633	8.77694e-005	8.3332e-005	9.17899e-005	-107.323	9.96873	1.00198	5.45483e-005	0.335722	0.335278	0.329
9.948	0.0395367	0.03729	0.03718	8.16286e-005	8.67824e-005	7.83366e-005	-106.663	10.6199	1.06754	5.56616e-005	0.335466	0.334728	0.329807
9.947	0.03852	0.03806	0.0402933	8.34298e-005	7.95698e-005	9.19297e-005	-106.71	10.0013	1.00545	5.68478e-005	0.335443	0.335386	0.329171
9.946	0.03927	0.03743	0.0370133	8.87158e-005	8.25598e-005	8.39033e-005	-108.701	10.3016	1.03576	5.79649e-005	0.334822	0.335438	0.32974
9.945	0.0385767	0.0398533	0.03815	8.59423e-005	9.29245e-005	7.97933e-005	-108.021	9.2995	0.935093	5.91158e-005	0.335197	0.335721	0.329082
9.944	0.03813	0.0376733	0.0397133	8.55259e-005	7.87776e-005	9.11131e-005	-109.453	9.69217	0.974675	6.01548e-005	0.33537	0.335404	0.329226
9.943	0.03885	0.0399633	0.0372767	8.80887e-005	9.55769e-005	8.26953e-005	-108.05	9.57227	0.962714	6.12377e-005	0.334958	0.335646	0.329397
9.942	0.0383533	0.0393	0.03773	7.80124e-005	8.99661e-005	8.56291e-005	-106.791	10.3045	1.03646	6.23074e-005	0.33525	0.335056	0.329694
9.941	0.03887	0.03925	0.0390433	9.57942e-005	8.3768e-005	9.32531e-005	-107.549	9.02777	0.908135	6.3459e-005	0.335162	0.335661	0.329177
9.94	0.0384067	0.0382533	0.0392033	9.0925e-005	8.4057e-005	8.61054e-005	-105.787	9.58195	0.963979	6.44681e-005	0.335657	0.334862	0.329481
