Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
0.053	0.76182	0.44123	0.39526	0.207976	0.920328	1.02696	-900	0	0	0	0.456408	0.452876	0.0907167
0.054	0.477967	0.67062	0.453977	1.23462	0.879404	0.911357	-900	0	0	0	0.455142	0.454108	0.09075
0.055	0.567557	0.61842	0.412407	0.981284	0.67549	1.53573	-900	0	0	0	0.454951	0.454374	0.0906744
0.056	0.57277	0.43594	0.597297	0.774735	0.686313	1.41737	-900	0	0	0	0.455736	0.453831	0.0904333
0.057	0.480223	0.590157	0.526207	0.803554	1.14669	1.39207	-900	0	0	0	0.454112	0.455046	0.0908422
0.058	0.663137	0.567437	0.397233	0.86976	0.990534	0.815852	-900	0	0	0	0.455198	0.453742	0.09106
0.059	0.620633	0.64848	0.301927	0.79703	0.340324	1.01617	-900	0	0	0	0.453879	0.45573	0.0903911
0.06	0.642033	0.312197	0.622883	0.86836	0.904495	0.394849	-900	0	0	0	0.455811	0.453658	0.0905311
0.061	0.495933	0.65971	0.493023	1.29375	0.78675	0.905003	-900	0	0	0	0.454663	0.45421	0.0911267
0.062	0.60557	0.32592	0.663103	0.867697	1.48006	0.367625	-900	0	0	0	0.455193	0.453744	0.0910622
0.063	0.65064	0.44078	0.522467	0.984734	0.846629	0.997423	-900	0	0	0	0.454402	0.455116	0.0904822
0.064	0.34631	0.64699	0.627773	0.804624	0.746404	0.827835	-900	0	0	0	0.453681	0.45535	0.0909689
0.065	0.31839	0.573417	0.728833	0.706581	0.610997	0.364954	-900	0	0	0	0.455704	0.453516	0.09078
0.066	0.629373	0.471863	0.522707	0.856345	1.17047	0.531627	-900	0	0	0	0.45594	0.453421	0.0906389
0.067	0.487957	0.520667	0.592093	0.854591	1.29331	0.700817	-900	0	0	0	0.45564	0.453552	0.0908078
0.068	0.517177	0.361767	0.726783	0.545491	0.907743	0.423077	-900	0	0	0	0.456337	0.453072	0.0905911
0.069	0.281817	0.57523	0.774377	0.504378	0.499868	0.167819	-900	0	0	0	0.45644	0.453068	0.0904922
0.07	0.45768	0.769583	0.355697	0.814126	0.10468	0.796671	-900	0	0	0	0.452576	0.456782	0.0906422
0.071	0.415943	0.709943	0.489653	0.853992	0.606965	0.878801	-900	0	0	0	0.452936	0.456251	0.0908133
0.072	0.46403	0.719937	0.397273	1.11107	0.196586	0.873746	-900	0	0	0	0.454669	0.454556	0.0907756
0.073	0.46921	0.41948	0.754003	0.70946	0.603468	0.339622	-900	0	0	0	0.456452	0.452708	0.09084
0.074	0.62112	0.54923	0.39325	0.613116	0.884111	0.999086	-900	0	0	0	0.455337	0.454408	0.0902556
0.075	0.474327	0.559793	0.57102	0.928203	0.661817	1.00854	-900	0	0	0	0.455637	0.453768	0.0905956
