Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
9.963	0.0312708	0.0318819	0.0310903	5.51638e-005	5.93112e-005	5.65671e-005	-155.399	13.2111	1.32601	3.98524e-005	0.335154	0.335156	0.329691
9.962	0.0325648	0.031669	0.0328426	5.9344e-005	6.07242e-005	6.01257e-005	-152.993	14.4651	1.45202	4.08755e-005	0.335822	0.33546	0.328718
9.961	0.0327569	0.0341806	0.0323009	6.26448e-005	6.42925e-005	6.37592e-005	-154.161	13.8088	1.38629	4.19959e-005	0.335378	0.335175	0.329447
9.96	0.0326852	0.0311528	0.031287	6.43917e-005	5.5159e-005	5.52943e-005	-153.468	12.7683	1.28196	4.30656e-005	0.335394	0.33527	0.329336
9.959	0.0318009	0.0315509	0.0322222	5.7015e-005	6.14946e-005	5.75521e-005	-155.672	13.5572	1.36131	4.40548e-005	0.335073	0.335378	0.329549
9.958	0.0327546	0.0336088	0.0325116	6.11544e-005	5.75772e-005	6.49951e-005	-154.201	14.0686	1.41279	4.51051e-005	0.335206	0.335351	0.329443
9.957	0.0309676	0.0315903	0.0317176	5.31721e-005	5.93841e-005	5.79433e-005	-153.414	15.2709	1.53368	4.61953e-005	0.335203	0.335485	0.329312
9.956	0.0325787	0.0324954	0.0314028	6.35547e-005	6.04525e-005	5.60872e-005	-155.182	14.1074	1.41698	4.73787e-005	0.335114	0.335198	0.329688
9.955	0.0317338	0.0328889	0.031044	6.2238e-005	6.07612e-005	5.41758e-005	-151.655	12.9955	1.30543	4.8472e-005	0.334848	0.335215	0.329937
9.954	0.0324306	0.0334213	0.0324699	6.52101e-005	6.56366e-005	6.02664e-005	-154.231	14.3219	1.43881	4.94793e-005	0.335407	0.335469	0.329124
9.953	0.0315301	0.0301829	0.0327523	5.64797e-005	5.73993e-005	6.31487e-005	-153.844	13.6059	1.36701	5.05895e-005	0.335101	0.335324	0.329575
9.952	0.0311505	0.0331481	0.0317037	5.60831e-005	5.88298e-005	5.9015e-005	-153.421	13.726	1.37922	5.16443e-005	0.335306	0.335374	0.32932
9.951	0.0314074	0.0307593	0.0316597	5.69025e-005	5.29758e-005	5.74826e-005	-154.74	13.6677	1.3735	5.27085e-005	0.33533	0.335475	0.329195
9.95	0.0346088	0.0322361	0.0313218	5.97319e-005	6.15897e-005	6.01801e-005	-153.617	13.0147	1.30801	5.37683e-005	0.335252	0.33539	0.329358
