Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
0.001	0.693273	0.519873	0.380289	38.324	44.1696	28.0343	-1296	0	0	0	0.45284	0.456314	0.0908457
0.002	0.527553	0.53238	0.522148	30.5106	36.3922	32.5943	-1296	0	0	0	0.455489	0.453635	0.0908758
0.003	0.462363	0.326414	0.764437	11.5523	11.6884	1.50444	-1296	0	0	0	0.456048	0.453638	0.090314
0.004	0.337051	0.728088	0.509903	9.77982	4.7559	14.9756	-1296	0	0	0	0.453527	0.455799	0.0906744
0.005	0.511454	0.762764	0.293674	5.54689	1.127	5.27364	-1296	0	0	0	0.453537	0.456169	0.090294
0.006	0.548722	0.401262	0.593787	11.7055	10.0447	7.43803	-1296	0	0	0	0.453923	0.455504	0.0905733
0.007	0.706192	0.231956	0.543692	1.45673	7.22718	6.06268	-1296	0	0	0	0.455253	0.45435	0.0903974
0.008	0.648227	0.503685	0.45178	8.06041	6.58989	7.31697	-1296	0	0	0	0.456664	0.452506	0.0908295
0.009	0.670965	0.430072	0.479007	6.32255	4.4759	6.34773	-1296	0	0	0	0.453334	0.45588	0.0907863
0.01	0.305537	0.75341	0.542683	3.14276	1.84861	2.62385	-1296	0	0	0	0.457095	0.452188	0.0907176
0.011	0.41715	0.44737	0.716697	5.97218	6.54698	1.91298	-1296	0	0	0	0.454062	0.455113	0.0908256
0.012	0.608819	0.299704	0.603037	2.26634	4.5041	3.9852	-1296	0	0	0	0.454778	0.454645	0.0905772
0.013	0.577174	0.477743	0.522088	2.81992	5.06765	7.14753	-1296	0	0	0	0.453394	0.455993	0.0906127
0.014	0.779903	0.388421	0.411389	0.362943	3.19977	3.38877	-1296	0	0	0	0.457203	0.451883	0.0909136
0.015	0.667303	0.545623	0.337984	2.20767	2.81935	4.17196	-1296	0	0	0	0.454816	0.454417	0.0907662
0.016	0.352613	0.567002	0.638838	4.42824	3.90291	1.35443	-1296	0	0	0	0.453635	0.455408	0.0909568
0.017	0.726905	0.501148	0.276227	0.454157	2.41219	2.93158	-1296	0	0	0	0.453919	0.455503	0.0905779
0.018	0.479891	0.606275	0.481345	4.48777	1.24537	4.16244	-1296	0	0	0	0.45384	0.455485	0.0906752
0.019	0.714782	0.251484	0.596141	1.39476	1.17657	1.03165	-1296	0	0	0	0.456077	0.453275	0.0906481
