Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy_Kawasaki	Prob1	Prob0	Prob_-1
5.878	0.0333219	0.0340472	0.0328519	0.000111392	0.000113588	0.000106604	-136.524	20.6879	3.51954	0.00761391	0.29826	0.29826	0.403479
5.877	0.0340756	0.0335806	0.0339087	0.000112287	0.00010865	0.000111692	-137.102	19.3959	3.30031	0.00761782	0.298119	0.298119	0.403761
5.876	0.0342121	0.0337633	0.0342122	0.000117053	0.000116384	0.000113995	-137.626	20.5797	3.50233	0.00762149	0.297669	0.297669	0.404662
5.875	0.0343568	0.0338908	0.0337891	0.000111667	0.000109472	0.000112758	-135.951	19.7092	3.35475	0.00762538	0.298255	0.298255	0.40349
5.874	0.03425	0.0341829	0.0334336	0.000114109	0.000107347	0.000109894	-136.754	19.6914	3.35229	0.00762911	0.298281	0.298281	0.403439
5.873	0.0345313	0.0336344	0.0336655	0.000112515	0.000110582	0.000109752	-135.865	19.0115	3.23711	0.00763283	0.298378	0.298378	0.403244
5.872	0.0341238	0.0336463	0.034169	0.00010787	0.000112171	0.00011004	-135.426	20.7442	3.53273	0.00763643	0.297859	0.297859	0.404282
5.871	0.0340481	0.0330531	0.0319423	0.00011049	0.000103862	0.000106881	-136.553	20.3809	3.47146	0.00764036	0.297565	0.297565	0.40487
5.87	0.0334096	0.0339071	0.0327007	0.000111349	0.000105611	0.000103832	-135.528	19.2759	3.28381	0.00764421	0.298142	0.298142	0.403716
5.869	0.0327696	0.0338976	0.0336922	0.000102671	0.000109387	0.000110757	-137.281	19.9676	3.40221	0.00764786	0.297897	0.297897	0.404205
5.868	0.0342103	0.0338405	0.0333473	0.000117103	0.000116711	0.000113651	-138.229	19.7949	3.37336	0.00765164	0.297832	0.297832	0.404335
5.867	0.0343209	0.0337798	0.0336413	0.000114133	0.000113757	0.000111488	-134.458	21.022	3.5831	0.00765539	0.298246	0.298246	0.403509
5.866	0.0339973	0.0331422	0.0336925	0.000108317	0.000102193	0.000105872	-134.852	20.6189	3.51498	0.00765937	0.298002	0.298002	0.403996
5.865	0.0333747	0.0320117	0.0333905	0.000114494	0.000103085	0.000109657	-137.653	21.4035	3.64936	0.00766328	0.29836	0.29836	0.40328
