Temp	Magnetism_1_Incorrect	Magnetism_2_Incorrect	Susceptibility_1_Incorrect	Susceptibility_2_Incorrect	Energy_Incorrect	Heat_Capacity_Incorrect	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
1.791	-0.00633569	0.00633569	0.0102752	0.0102752	-621.911	906.452	506.115	0.82039	0	0	0.357484	0.285033	0.357484	0	0
1.792	-0.0201083	0.0201083	0.0102769	0.0102769	-595.993	882.65	492.55	0.820952	0	0	0.354603	0.290793	0.354603	0	0
1.793	0.00914475	-0.00914475	0.0109463	0.0109463	-602.861	947.663	528.535	0.821499	0	0	0.355721	0.288559	0.355721	0	0
1.794	0.0139545	-0.0139545	0.01297	0.01297	-616.419	729.54	406.656	0.822086	0	0	0.356951	0.286098	0.356951	0	0
1.795	0.0130221	-0.0130221	0.00760997	0.00760997	-599.26	809.784	451.133	0.822538	0	0	0.355342	0.289316	0.355342	0	0
1.796	0.0158846	-0.0158846	0.0101745	0.0101745	-602.186	732.67	407.946	0.82304	0	0	0.355148	0.289705	0.355148	0	0
1.797	0.00187196	-0.00187196	0.00886384	0.00886384	-605.269	943.95	525.292	0.823493	0	0	0.355786	0.288429	0.355786	0	0
1.798	0.0221953	-0.0221953	0.00710844	0.00710844	-602.888	745.355	414.547	0.824077	0	0	0.35559	0.288819	0.35559	0	0
1.799	-0.0268521	0.0268521	0.00684113	0.00684113	-599.013	835.291	464.308	0.824537	0	0	0.355011	0.289978	0.355011	0	0
1.8	-0.0015656	0.0015656	0.00805609	0.00805609	-595.883	808.962	449.423	0.825053	0	0	0.354515	0.290969	0.354515	0	0
1.801	0.00983547	-0.00983547	0.00859156	0.00859156	-605.431	764.843	424.677	0.825552	0	0	0.355848	0.288304	0.355848	0	0
1.802	-0.0146759	0.0146759	0.0112537	0.0112537	-598.969	881.383	489.114	0.826024	0	0	0.354951	0.290097	0.354951	0	0
