Temp	Magnetism_1_Correct	Magnetism_2_Correct	Susceptibility_1_Correct	Susceptibility_2_Correct	Energy_Correct	Heat_Capacity_Correct	Heat_Capacity/Temp_Correct	Entropy_Correct	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.534	-0.999873	0.999873	5.94021e-007	5.94021e-007	-1799.6	11.0377	20.6699	0.000647446	0	0	0.499936	0.000127232	0.499936	0	0
0.535	-0.999855	0.999855	5.64378e-007	5.64378e-007	-1799.54	10.4673	19.5651	0.000670413	0	0	0.499927	0.000145385	0.499927	0	0
0.536	-0.999864	0.999864	5.60495e-007	5.60495e-007	-1799.57	10.3759	19.3581	0.000692152	0	0	0.499932	0.000136358	0.499932	0	0
0.537	-0.999867	0.999867	5.24464e-007	5.24464e-007	-1799.58	9.69081	18.0462	0.000713661	0	0	0.499933	0.000133373	0.499933	0	0
0.538	-0.999883	0.999883	4.56031e-007	4.56031e-007	-1799.63	8.41069	15.6332	0.000733712	0	0	0.499942	0.000116514	0.499942	0	0
0.539	-0.999789	0.999789	7.8808e-007	7.8808e-007	-1799.33	14.5077	26.916	0.000751082	0	0	0.499894	0.000211225	0.499894	0	0
0.54	-0.999842	0.999842	6.40997e-007	6.40997e-007	-1799.5	11.7783	21.8116	0.000780989	0	0	0.499921	0.000157721	0.499921	0	0
0.541	-0.999853	0.999853	5.65634e-007	5.65634e-007	-1799.54	10.3742	19.176	0.000805224	0	0	0.499926	0.000147491	0.499926	0	0
0.542	-0.999909	0.999909	3.58728e-007	3.58728e-007	-1799.71	6.56728	12.1167	0.000826531	0	0	0.499954	9.12395e-005	0.499954	0	0
0.543	-0.999758	0.999758	9.88828e-007	9.88828e-007	-1799.24	18.0692	33.2767	0.000839994	0	0	0.499879	0.000241523	0.499879	0	0
0.544	-0.999864	0.999864	6.11249e-007	6.11249e-007	-1799.57	11.1491	20.4947	0.000876968	0	0	0.499932	0.000135889	0.499932	0	0
0.545	-0.999854	0.999854	5.90307e-007	5.90307e-007	-1799.54	10.7473	19.7199	0.00089974	0	0	0.499927	0.000146272	0.499927	0	0
0.546	-0.999904	0.999904	4.35458e-007	4.35458e-007	-1799.7	7.91356	14.4937	0.000921651	0	0	0.499952	9.62247e-005	0.499952	0	0
0.547	-0.999865	0.999865	5.16161e-007	5.16161e-007	-1799.57	9.36305	17.1171	0.000937755	0	0	0.499932	0.000135289	0.499932	0	0
0.548	-0.999899	0.999899	3.90712e-007	3.90712e-007	-1799.68	7.07448	12.9096	0.000956774	0	0	0.49995	0.000100933	0.49995	0	0
0.549	-0.999858	0.999858	5.36538e-007	5.36538e-007	-1799.55	9.69724	17.6635	0.000971118	0	0	0.499929	0.00014157	0.499929	0	0
0.55	-0.999888	0.999888	4.28601e-007	4.28601e-007	-1799.65	7.73227	14.0587	0.000990744	0	0	0.499944	0.000111691	0.499944	0	0
0.551	-0.999906	0.999906	3.62654e-007	3.62654e-007	-1799.7	6.53072	11.8525	0.00100636	0	0	0.499953	9.38864e-005	0.499953	0	0
0.552	-0.999867	0.999867	5.46919e-007	5.46919e-007	-1799.58	9.83115	17.81	0.00101953	0	0	0.499933	0.000133291	0.499933	0	0
0.553	-0.99991	0.99991	3.4566e-007	3.4566e-007	-1799.72	6.20214	11.2154	0.00103932	0	0	0.499955	8.96321e-005	0.499955	0	0
0.554	-0.999888	0.999888	4.3199e-007	4.3199e-007	-1799.65	7.73721	13.9661	0.00105178	0	0	0.499944	0.000111936	0.499944	0	0
0.555	-0.999893	0.999893	6.11861e-007	6.11861e-007	-1799.66	10.9391	19.7101	0.0010673	0	0	0.499947	0.000106832	0.499947	0	0
0.556	-0.999906	0.999906	3.58058e-007	3.58058e-007	-1799.71	6.38992	11.4927	0.0010892	0	0	0.499953	9.3521e-005	0.499953	0	0
0.557	-0.999946	0.999946	2.09747e-007	2.09747e-007	-1799.83	3.73644	6.70816	0.00110197	0	0	0.499973	5.3879e-005	0.499973	0	0
0.558	-0.999868	0.999868	4.95955e-007	4.95955e-007	-1799.58	8.81913	15.8049	0.00110943	0	0	0.499934	0.000132425	0.499934	0	0
0.559	-0.999932	0.999932	2.62431e-007	2.62431e-007	-1799.79	4.65825	8.33318	0.00112699	0	0	0.499966	6.81012e-005	0.499966	0	0
0.56	-0.999806	0.999806	7.57912e-007	7.57912e-007	-1799.39	13.4291	23.9806	0.00113625	0	0	0.499903	0.000193943	0.499903	0	0
