Temperature_K	Magnetism_One_K	Magnetism_Two_K	Magnetism_Three_K	Susceptibility_One_K	Susceptibility_Two_K	Susceptibility_Three_K	Energy_K	Heat_Capacity_K	Heat_Capacity_Over_Temp_K	Entropy_K	Prob1	Prob_neg1	Prob0
9.96	0.000847493	-0.000277607	-0.000569885	0.000183088	0.000179493	0.000167086	-109.292	9.21821	0.925523	1.09856	0.33555	0.33555	0.3289
9.959	0.00353934	-0.00356081	2.14704e-005	0.000178249	0.000185879	0.000171061	-107.104	9.09013	0.912755	1.09856	0.334835	0.334835	0.330331
9.958	0.00170196	-0.000501189	-0.00120077	0.000188782	0.00019648	0.00017549	-113.265	10.0936	1.01362	1.09856	0.335465	0.335465	0.329071
9.957	-0.00029837	0.000562889	-0.000264519	0.000196211	0.000188682	0.000174105	-105.141	9.46759	0.950848	1.09855	0.335215	0.335215	0.32957
9.956	-0.000678096	-0.00214355	0.00282164	0.00019052	0.000184665	0.000188035	-106.924	9.32072	0.936191	1.09855	0.335292	0.335292	0.329416
9.955	-0.000795522	0.00183463	-0.00103911	0.000187982	0.000187312	0.000185961	-110.073	10.3383	1.0385	1.09855	0.335257	0.335257	0.329487
9.954	-0.00493829	0.00189699	0.0030413	0.000187236	0.000186133	0.000169419	-109.727	9.10965	0.915174	1.09855	0.334928	0.334928	0.330144
9.953	-0.00220249	0.00295054	-0.000748052	0.000177259	0.000174532	0.000182942	-108.101	9.6058	0.965116	1.09855	0.335923	0.335923	0.328153
9.952	0.00328382	-0.00244513	-0.000838693	0.000182499	0.000181017	0.000166085	-113.852	9.51276	0.955864	1.09855	0.335559	0.335559	0.328882
9.951	0.0025068	-0.00326084	0.000754033	0.000175453	0.000173142	0.000170625	-111.918	9.2212	0.92666	1.09855	0.334949	0.334949	0.330103
9.95	-0.00464849	0.00143385	0.00321464	0.000183695	0.000194129	0.000184878	-109.243	9.85464	0.990416	1.09855	0.335136	0.335136	0.329727
9.949	0.000471893	8.73333e-005	-0.000559226	0.000174025	0.000167381	0.000192138	-107.425	8.72103	0.876573	1.09855	0.334948	0.334948	0.330103
9.948	0.00367295	-0.00373476	6.18037e-005	0.000182083	0.00016984	0.000184285	-108.445	9.56034	0.961032	1.09855	0.335055	0.335055	0.329891
9.947	-0.00505732	0.00474513	0.000312189	0.000177623	0.000177877	0.000177831	-112.525	9.25096	0.930025	1.09854	0.335389	0.335389	0.329223
9.946	0.00160962	-0.00262383	0.00101421	0.000173222	0.000178029	0.000170899	-106.989	8.94058	0.898912	1.09854	0.335557	0.335557	0.328885
9.945	0.00229728	-0.00103295	-0.00126433	0.000176588	0.000193755	0.000172711	-104.913	9.38728	0.943919	1.09854	0.335729	0.335729	0.328542
9.944	0.00246111	0.000394752	-0.00285587	0.000175567	0.000185087	0.000187617	-108.861	9.08552	0.913668	1.09854	0.335541	0.335541	0.328919
9.943	-0.000643863	-0.00040357	0.00104743	0.0001869	0.000193418	0.0001869	-106.755	10.033	1.00905	1.09854	0.335217	0.335217	0.329565
9.942	0.00022447	-0.00168604	0.00146157	0.000176183	0.000197913	0.000192706	-105.333	10.0321	1.00906	1.09854	0.33536	0.33536	0.32928
9.941	-0.00198909	-0.00183326	0.00382235	0.000175652	0.000172666	0.000175689	-111.219	9.51476	0.957123	1.09854	0.334931	0.334931	0.330138
