Temperature	Magnetism_One	Magntism_Two	Susceptibility_One	Susceptibility_Two	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob_S3	Prob_S2	Prob_S1	Prob_S0	Prob_S-1	Prob_S-2	Prob_S-3	
0.01	1.99936	1.99936	0.000126677	0.000126677	-7195.71	577173	5.77173e+007	0	0	0.499682	0.000318025	0	0.000318025	0.499682	0
0.02	1.99958	1.99958	4.32789e-005	4.32789e-005	-7197.19	98594.8	4.92974e+006	641.303	0	0.499792	0.000207864	0	0.000207864	0.499792	0
0.03	1.99925	1.99925	3.68903e-005	3.68903e-005	-7194.96	56027.1	1.86757e+006	696.078	0	0.499627	0.000373198	0	0.000373198	0.499627	0
0.04	1.99998	1.99998	9.01415e-007	9.01415e-007	-7199.89	1026.77	25669.2	716.829	0	0.499992	8.17284e-006	0	8.17284e-006	0.499992	0
0.05	1.99984	1.99984	6.47491e-006	6.47491e-006	-7198.94	5900.25	118005	717.114	0	0.499922	7.83704e-005	0	7.83704e-005	0.499922	0
0.06	1.99951	1.99951	2.24467e-005	2.24467e-005	-7196.69	17045.5	284091	718.425	0	0.499755	0.000244963	0	0.000244963	0.499755	0
0.07	1.99936	1.99936	1.98566e-005	1.98566e-005	-7195.67	12924.5	184636	721.582	0	0.499679	0.000320728	0	0.000320728	0.499679	0
0.08	1.99922	1.99922	1.95337e-005	1.95337e-005	-7194.74	11125.1	139063	723.633	0	0.49961	0.000389679	0	0.000389679	0.49961	0
0.09	1.99979	1.99979	4.61639e-006	4.61639e-006	-7198.61	2337.05	25967.2	725.178	0	0.499897	0.000103037	0	0.000103037	0.499897	0
0.1	1.99935	1.99935	1.28806e-005	1.28806e-005	-7195.59	5868.73	58687.3	725.467	0	0.499673	0.000326852	0	0.000326852	0.499673	0
0.11	1.99998	1.99998	4.17053e-007	4.17053e-007	-7199.86	172.745	1570.41	726.119	0	0.49999	1.04198e-005	0	1.04198e-005	0.49999	0
0.12	1.99968	1.99968	5.09308e-006	5.09308e-006	-7197.83	1933.78	16114.8	726.137	0	0.499839	0.000160778	0	0.000160778	0.499839	0
0.13	1.99954	1.99954	9.20932e-006	9.20932e-006	-7196.89	3227.69	24828.4	726.316	0	0.49977	0.00023016	0	0.00023016	0.49977	0
0.14	2	2	0	0	-7200	0	0	726.591	0	0.5	0	0	0	0.5	0
0.15	1.99974	1.99974	3.40175e-006	3.40175e-006	-7198.24	1033.28	6888.53	726.591	0	0.49987	0.000130025	0	0.000130025	0.49987	0
0.16	1.99996	1.99996	5.91105e-007	5.91105e-007	-7199.71	168.326	1052.04	726.668	0	0.499978	2.17037e-005	0	2.17037e-005	0.499978	0
0.17	1.99992	1.99992	1.81875e-006	1.81875e-006	-7199.43	487.451	2867.36	726.68	0	0.499958	4.19136e-005	0	4.19136e-005	0.499958	0
0.18	1.99996	1.99996	4.97275e-007	4.97275e-007	-7199.72	125.873	699.292	726.712	0	0.499979	2.05185e-005	0	2.05185e-005	0.499979	0
0.19	1.99994	1.99994	7.06821e-007	7.06821e-007	-7199.58	169.498	892.095	726.719	0	0.499969	3.10864e-005	0	3.10864e-005	0.499969	0
0.2	1.99974	1.99974	2.55677e-006	2.55677e-006	-7198.24	582.464	2912.32	726.729	0	0.49987	0.000130346	0	0.000130346	0.49987	0
0.21	1.99979	1.99979	1.99504e-006	1.99504e-006	-7198.6	432.852	2061.2	726.762	0	0.499896	0.000104	0	0.000104	0.499896	0
0.22	1.99996	1.99996	4.17663e-007	4.17663e-007	-7199.72	86.4992	393.178	726.785	0	0.499979	2.10741e-005	0	2.10741e-005	0.499979	0
0.23	2	2	0	0	-7200	0	0	726.789	0	0.5	0	0	0	0.5	0
0.24	1.99926	1.99926	4.58474e-006	4.58474e-006	-7194.97	870.387	3626.61	726.789	0	0.499628	0.00037237	0	0.00037237	0.499628	0
0.25	1.99978	1.99978	1.75527e-006	1.75527e-006	-7198.52	319.897	1279.59	726.829	0	0.49989	0.000109531	0	0.000109531	0.49989	0
0.26	1.99966	1.99966	2.45667e-006	2.45667e-006	-7197.71	430.509	1655.8	726.843	0	0.49983	0.000169605	0	0.000169605	0.49983	0
0.27	1.99957	1.99957	3.48153e-006	3.48153e-006	-7197.11	587.509	2175.96	726.862	0	0.499786	0.000214407	0	0.000214407	0.499786	0
0.28	1.99976	1.99976	1.67379e-006	1.67379e-006	-7198.41	272.365	972.732	726.886	0	0.499882	0.000117975	0	0.000117975	0.499882	0
0.29	1.99958	1.99958	6.50165e-006	6.50165e-006	-7197.14	1021.49	3522.37	726.897	0	0.499788	0.000212025	0	0.000212025	0.499788	0
0.3	1.99993	1.99993	4.93782e-007	4.93782e-007	-7199.54	74.9933	249.978	726.936	0	0.499966	3.43951e-005	0	3.43951e-005	0.499966	0
0.31	1.99962	1.99962	2.92205e-006	2.92205e-006	-7197.47	429.471	1385.39	726.939	0	0.499812	0.000187691	0	0.000187691	0.499812	0
0.32	2	2	7.8835e-009	7.8835e-009	-7199.99	1.12247	3.50773	726.954	0	0.499999	5.67901e-007	0	5.67901e-007	0.499999	0
0.33	1.99978	1.99978	1.4598e-006	1.4598e-006	-7198.5	201.552	610.763	726.954	0	0.499889	0.000110765	0	0.000110765	0.499889	0
0.34	1.99992	1.99992	5.04351e-007	5.04351e-007	-7199.46	67.5869	198.785	726.961	0	0.49996	4.00247e-005	0	4.00247e-005	0.49996	0
0.35	1.99982	1.99982	1.04319e-006	1.04319e-006	-7198.79	135.801	388.001	726.963	0	0.499911	8.93333e-005	0	8.93333e-005	0.499911	0
0.36	1.99972	1.99972	1.50685e-006	1.50685e-006	-7198.12	190.711	529.753	726.967	0	0.49986	0.000139593	0	0.000139593	0.49986	0
0.37	1.99981	1.99981	1.06638e-006	1.06638e-006	-7198.69	131.316	354.909	726.973	0	0.499903	9.72963e-005	0	9.72963e-005	0.499903	0
0.38	1.99974	1.99974	1.32839e-006	1.32839e-006	-7198.27	159.276	419.146	726.977	0	0.499872	0.00012842	0	0.00012842	0.499872	0
0.39	1.99958	1.99958	1.9569e-006	1.9569e-006	-7197.13	228.619	586.203	726.982	0	0.499788	0.000212272	0	0.000212272	0.499788	0
0.4	1.99974	1.99974	1.28132e-006	1.28132e-006	-7198.24	145.951	364.877	726.988	0	0.499869	0.000130691	0	0.000130691	0.499869	0
0.41	1.99981	1.99981	9.56708e-007	9.56708e-007	-7198.69	106.318	259.311	726.992	0	0.499903	9.66667e-005	0	9.66667e-005	0.499903	0
0.42	2	2	0	0	-7200	0	0	726.995	0	0.5	0	0	0	0.5	0
0.43	1.99985	1.99985	7.29815e-007	7.29815e-007	-7198.98	77.3308	179.839	726.995	0	0.499924	7.57778e-005	0	7.57778e-005	0.499924	0
0.44	1.99995	1.99995	2.45176e-007	2.45176e-007	-7199.66	25.3882	57.7005	726.997	0	0.499975	2.48272e-005	0	2.48272e-005	0.499975	0
0.45	1.99995	1.99995	2.3693e-007	2.3693e-007	-7199.67	23.9893	53.3095	726.998	0	0.499975	2.45309e-005	0	2.45309e-005	0.499975	0
0.46	1.9999	1.9999	4.73278e-007	4.73278e-007	-7199.31	46.8775	101.908	726.999	0	0.499949	5.1358e-005	0	5.1358e-005	0.499949	0
0.47	1.99973	1.99973	1.11715e-006	1.11715e-006	-7198.19	108.299	230.423	727	0	0.499866	0.000134395	0	0.000134395	0.499866	0
0.48	1.99976	1.99976	1.11449e-006	1.11449e-006	-7198.37	105.79	220.395	727.002	0	0.49988	0.000120494	0	0.000120494	0.49988	0
0.49	1.9999	1.9999	4.33617e-007	4.33617e-007	-7199.32	40.3197	82.285	727.005	0	0.49995	5.00617e-005	0	5.00617e-005	0.49995	0
0.5	1.99983	1.99983	6.80798e-007	6.80798e-007	-7198.88	62.0378	124.076	727.006	0	0.499917	8.27531e-005	0	8.27531e-005	0.499917	0
0.51	1.99938	1.99938	3.8711e-006	3.8711e-006	-7195.84	345.837	678.111	727.007	0	0.499692	0.000308012	0	0.000308012	0.499692	0
0.52	2	2	1.03295e-008	1.03295e-008	-7199.98	0.905078	1.74054	727.015	0	0.499999	1.20988e-006	0	1.20988e-006	0.499999	0
0.53	1.99995	1.99995	2.13322e-007	2.13322e-007	-7199.65	18.3387	34.6013	727.015	0	0.499974	2.60494e-005	0	2.60494e-005	0.499974	0
0.54	1.99969	1.99969	1.55849e-006	1.55849e-006	-7197.89	131.498	243.514	727.015	0	0.499844	0.000156	0	0.000156	0.499844	0
0.55	1.99971	1.99971	1.36265e-006	1.36265e-006	-7198.07	112.883	205.243	727.018	0	0.499857	0.00014321	0	0.00014321	0.499857	0
0.56	1.99959	1.99959	1.38562e-006	1.38562e-006	-7197.26	112.736	201.315	727.02	0	0.499797	0.00020321	0	0.00020321	0.499797	0
0.57	1.99974	1.99974	8.99027e-007	8.99027e-007	-7198.24	71.863	126.076	727.022	0	0.499869	0.000130667	0	0.000130667	0.499869	0
0.58	1.99992	1.99992	2.8026e-007	2.8026e-007	-7199.49	22.0161	37.9588	727.024	0	0.499962	3.78642e-005	0	3.78642e-005	0.499962	0
0.59	1.99911	1.99911	3.35578e-006	3.35578e-006	-7193.97	259.149	439.235	727.024	0	0.499553	0.000446556	0	0.000446556	0.499553	0
0.6	1.99957	1.99957	1.71896e-006	1.71896e-006	-7197.12	130.534	217.556	727.029	0	0.499787	0.000213346	0	0.000213346	0.499787	0
0.61	1.99993	1.99993	2.51188e-007	2.51188e-007	-7199.52	18.7619	30.7572	727.031	0	0.499964	3.56173e-005	0	3.56173e-005	0.499964	0
0.62	1.99999	1.99999	4.79399e-008	4.79399e-008	-7199.91	3.52302	5.68229	727.032	0	0.499993	6.7284e-006	0	6.7284e-006	0.499993	0
0.63	2	2	0	0	-7200	0	0	727.032	0	0.5	0	0	0	0.5	0
0.64	1.99997	1.99997	8.7463e-008	8.7463e-008	-7199.83	6.2266	9.72906	727.032	0	0.499987	1.27407e-005	0	1.27407e-005	0.499987	0
0.65	1.99986	1.99986	5.61299e-007	5.61299e-007	-7199.03	39.3449	60.5306	727.032	0	0.499928	7.17901e-005	0	7.17901e-005	0.499928	0
0.66	1.99992	1.99992	2.53717e-007	2.53717e-007	-7199.47	17.5151	26.5381	727.032	0	0.499961	3.90494e-005	0	3.90494e-005	0.499961	0
0.67	1.99998	1.99998	7.43326e-008	7.43326e-008	-7199.85	5.05489	7.54462	727.033	0	0.499989	1.1321e-005	0	1.1321e-005	0.499989	0
0.68	1.9999	1.9999	3.00614e-007	3.00614e-007	-7199.35	20.1423	29.621	727.033	0	0.499952	4.80741e-005	0	4.80741e-005	0.499952	0
0.69	1.99969	1.99969	8.69347e-007	8.69347e-007	-7197.88	57.4054	83.1962	727.033	0	0.499843	0.00015721	0	0.00015721	0.499843	0
