Temperature	Magnetism_One	Magntism_Two	Susceptibility_One	Susceptibility_Two	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob_S3	Prob_S2	Prob_S1	Prob_S0	Prob_S-1	Prob_S-2	Prob_S-3	
0.4	2.99998	2.99998	9.63544e-008	9.63544e-008	-16199.8	25.8046	64.5114	589.862	0.499991	8.74074e-006	0	0	0	8.74074e-006	0.499991
0.41	2.99977	2.99977	1.11397e-006	1.11397e-006	-16197.6	291.054	709.888	589.863	0.499885	0.00011458	0	0	0	0.00011458	0.499885
0.42	2.99999	2.99999	6.3407e-008	6.3407e-008	-16199.9	16.1724	38.5056	589.871	0.499994	6.02469e-006	0	0	0	6.02469e-006	0.499994
0.43	2.99968	2.99968	1.40166e-006	1.40166e-006	-16196.7	349.188	812.065	589.871	0.499842	0.000158111	0	0	0	0.000158111	0.499842
0.44	3	3	0	0	-16200	0	0	589.88	0.5	0	0	0	0	0	0.5
0.45	2.99966	2.99966	1.4373e-006	1.4373e-006	-16196.4	342.152	760.338	589.88	0.499828	0.000172222	0	0	0	0.000172222	0.499828
0.46	2.99987	2.99987	6.08411e-007	6.08411e-007	-16198.6	141.684	308.009	589.889	0.499933	6.70123e-005	0	0	0	6.70123e-005	0.499933
0.47	2.99985	2.99985	6.56389e-007	6.56389e-007	-16198.5	149.606	318.311	589.892	0.499926	7.43951e-005	0	0	0	7.43951e-005	0.499926
0.48	2.99994	2.99994	3.49067e-007	3.49067e-007	-16199.4	77.9026	162.297	589.896	0.499969	3.06173e-005	0	0	0	3.06173e-005	0.499969
0.49	2.9995	2.9995	1.75124e-006	1.75124e-006	-16194.9	382.856	781.338	589.897	0.499751	0.000248778	0	0	0	0.000248778	0.499751
0.5	2.99984	2.99984	6.65353e-007	6.65353e-007	-16198.3	142.549	285.098	589.906	0.499919	8.0716e-005	0	0	0	8.0716e-005	0.499919
0.51	2.9997	2.9997	1.12473e-006	1.12473e-006	-16196.9	236.246	463.227	589.909	0.499851	0.000149062	0	0	0	0.000149062	0.499851
0.52	2.99978	2.99978	8.3878e-007	8.3878e-007	-16197.7	172.795	332.297	589.914	0.499891	0.00010879	0	0	0	0.00010879	0.499891
0.53	2.99961	2.99961	1.38828e-006	1.38828e-006	-16196	280.6	529.435	589.918	0.499807	0.000193235	0	0	0	0.000193235	0.499807
0.54	2.99938	2.99938	3.07109e-006	3.07109e-006	-16193.6	609.228	1128.2	589.924	0.499689	0.000311284	0	0	0	0.000311284	0.499689
0.55	2.99994	2.99994	2.40687e-007	2.40687e-007	-16199.4	46.8786	85.2338	589.936	0.499969	3.06296e-005	0	0	0	3.06296e-005	0.499969
0.56	2.99955	2.99955	1.80316e-006	1.80316e-006	-16195.3	344.928	615.943	589.937	0.499773	0.000227012	0	0	0	0.000227012	0.499773
0.57	2.99981	2.99981	6.87047e-007	6.87047e-007	-16198	129.12	226.526	589.944	0.499904	9.64938e-005	0	0	0	9.64938e-005	0.499904
0.58	2.99987	2.99987	4.74702e-007	4.74702e-007	-16198.6	87.6752	151.164	589.947	0.499934	6.58519e-005	0	0	0	6.58519e-005	0.499934
0.59	2.9995	2.9995	1.67215e-006	1.67215e-006	-16194.8	303.604	514.583	589.948	0.499751	0.000248938	0	0	0	0.000248938	0.499751
0.6	2.99988	2.99988	4.04496e-007	4.04496e-007	-16198.8	72.2183	120.364	589.954	0.499942	5.75926e-005	0	0	0	5.75926e-005	0.499942
0.61	2.99983	2.99983	5.63152e-007	5.63152e-007	-16198.3	98.8962	162.125	589.956	0.499916	8.35802e-005	0	0	0	8.35802e-005	0.499916
0.62	2.99956	2.99956	1.41892e-006	1.41892e-006	-16195.5	245.161	395.42	589.957	0.499782	0.000218198	0	0	0	0.000218198	0.499782
0.63	3	3	5.65701e-009	5.65701e-009	-16200	0.961904	1.52683	589.962	0.499999	8.02469e-007	0	0	0	8.02469e-007	0.499999
0.64	2.99987	2.99987	4.23693e-007	4.23693e-007	-16198.7	70.9177	110.809	589.962	0.499935	6.47901e-005	0	0	0	6.47901e-005	0.499935
