Temp	Magnetism_1	Magnetism_2	Susceptibility_1	Susceptibility_2	Energy	Heat_Capacity	Heat_Capacity/Temp	Entropy	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
11.258	-0.00199959	0.00199959	7.14626e-005	7.14626e-005	-56.6457	5.37033	0.477024	4909.43	0	0	0.293672	0.412657	0.293672	0	0
11.259	-0.000493963	0.000493963	7.51185e-005	7.51185e-005	-54.9788	5.03852	0.44751	4909.43	0	0	0.293878	0.412244	0.293878	0	0
11.26	-0.000280635	0.000280635	7.24635e-005	7.24635e-005	-55.0439	4.92472	0.437364	4909.43	0	0	0.294148	0.411704	0.294148	0	0
11.261	-0.000460753	0.000460753	7.22796e-005	7.22796e-005	-55.8907	5.10094	0.452974	4909.43	0	0	0.294052	0.411895	0.294052	0	0
11.262	-0.000899622	0.000899622	7.2918e-005	7.2918e-005	-58.3569	4.7978	0.426016	4909.43	0	0	0.293665	0.41267	0.293665	0	0
11.263	-0.00144194	0.00144194	6.92428e-005	6.92428e-005	-58.4289	4.56463	0.405277	4909.43	0	0	0.29384	0.41232	0.29384	0	0
11.264	0.000906304	-0.000906304	6.90816e-005	6.90816e-005	-56.0254	4.96534	0.440815	4909.43	0	0	0.293962	0.412076	0.293962	0	0
11.265	-0.000864936	0.000864936	7.47313e-005	7.47313e-005	-57.3779	4.81848	0.427739	4909.43	0	0	0.293924	0.412151	0.293924	0	0
11.266	0.000589442	-0.000589442	7.29601e-005	7.29601e-005	-57.0931	5.0501	0.44826	4909.43	0	0	0.293786	0.412428	0.293786	0	0
11.267	0.000240235	-0.000240235	7.24038e-005	7.24038e-005	-52.5921	5.06263	0.449333	4909.43	0	0	0.293825	0.41235	0.293825	0	0
11.268	0.00069883	-0.00069883	7.4078e-005	7.4078e-005	-55.7914	5.3768	0.477175	4909.43	0	0	0.293738	0.412524	0.293738	0	0
